road_spectrum_ratio,cavity_ratio,edge_density,non_road_ratio,average_brightness,defect_type,location_type
75.03,24.5,8.48,6.17,183.36,Pothole,Road
9.8,6.42,9.34,56.87,122.75,Damage,Non-Road
79.21,3.92,26.48,7.27,147.54,Crack,Road
2.06,1.92,2.06,52.74,151.65,None,Non-Road
13.96,0.91,2.27,49.34,89.08,None,Non-Road
22.63,5.43,12.19,65.23,85.09,Damage,Non-Road
19.43,3.9,11.02,54.75,120.92,Damage,Non-Road
72.75,15.34,12.54,11.02,121.86,Pothole,Road
82.67,1.04,35.77,8.42,121.95,Crack,Road
10.82,0.47,1.54,69.31,128.98,None,Non-Road
11.69,3.88,41.43,60.06,93.86,Crack,Non-Road
6.13,0.76,2.09,64.3,130.49,None,Non-Road
73.7,1.85,34.74,0.83,132.45,Crack,Road
66.86,7.72,14.09,9.19,122.43,Damage,Road
63.85,0.95,1.08,9.82,162.34,None,Road
6.18,8.86,8.0,70.89,34.77,Damage,Non-Road
23.87,3.28,32.8,65.05,124.21,Crack,Non-Road
17.39,21.96,18.66,92.95,91.45,Pothole,Non-Road
65.54,0.58,2.01,2.38,77.39,None,Road
11.68,23.59,16.12,66.91,92.21,Pothole,Non-Road
67.64,0.0,32.44,3.58,127.32,Crack,Road
15.31,0.41,0.48,64.4,121.62,None,Non-Road
13.38,9.29,13.2,58.58,65.12,Damage,Non-Road
54.11,15.97,19.58,11.05,101.37,Pothole,Road
64.26,19.57,12.01,4.14,63.72,Pothole,Road
75.58,15.86,15.95,9.57,122.78,Pothole,Road
75.96,14.39,10.72,12.12,118.34,Pothole,Road
73.68,0.31,29.97,8.74,120.77,Crack,Road
64.93,2.16,31.87,8.07,130.66,Crack,Road
65.43,21.89,12.34,4.67,128.99,Pothole,Road
78.68,1.64,0.94,9.97,112.26,None,Road
60.24,17.98,15.85,6.55,111.44,Pothole,Road
72.16,0.46,35.83,8.29,117.69,Crack,Road
7.58,6.9,14.37,60.52,100.83,Damage,Non-Road
20.42,11.38,12.4,51.38,132.07,Damage,Non-Road
78.07,1.63,33.8,10.87,84.69,Crack,Road
14.66,1.1,24.65,80.15,94.6,Crack,Non-Road
70.75,1.26,1.37,14.44,117.42,None,Road
76.63,6.02,13.61,5.53,91.43,Damage,Road
10.18,10.46,15.23,58.05,119.94,Damage,Non-Road
68.87,16.74,14.46,10.06,76.72,Pothole,Road
64.3,7.06,12.76,8.1,113.23,Damage,Road
66.29,2.42,29.13,0.0,99.0,Crack,Road
9.4,11.43,7.98,59.11,97.67,Damage,Non-Road
18.77,1.46,30.85,67.73,84.86,Crack,Non-Road
13.72,2.42,32.6,68.53,83.22,Crack,Non-Road
16.13,2.11,17.43,72.48,119.36,Crack,Non-Road
70.03,0.95,2.09,10.81,101.41,None,Road
12.58,1.66,34.94,83.92,102.67,Crack,Non-Road
20.84,8.57,8.3,66.4,51.17,Damage,Non-Road
11.86,0.86,27.78,73.75,96.18,Crack,Non-Road
72.67,7.05,8.65,10.43,150.74,Damage,Road
76.93,2.98,34.51,3.49,53.89,Crack,Road
13.48,1.19,37.79,74.06,179.62,Crack,Non-Road
65.56,1.75,29.44,4.05,112.78,Crack,Road
3.01,1.23,2.81,60.22,119.73,None,Non-Road
66.32,6.96,10.98,8.83,117.47,Damage,Road
4.16,3.47,28.56,82.82,111.01,Crack,Non-Road
60.83,5.46,12.92,10.35,129.19,Damage,Road
19.75,10.39,14.32,71.61,122.92,Damage,Non-Road
63.11,0.57,1.33,2.24,142.12,None,Road
61.12,3.61,38.37,14.5,116.79,Crack,Road
64.87,1.79,3.6,8.63,80.85,None,Road
73.19,0.96,0.93,11.98,108.05,None,Road
6.58,5.87,7.13,51.26,180.2,Damage,Non-Road
65.28,20.54,9.63,9.41,81.12,Pothole,Road
3.44,22.06,10.61,53.17,77.31,Pothole,Non-Road
91.58,0.6,3.45,3.48,85.87,None,Road
16.86,9.34,18.37,63.29,99.89,Damage,Non-Road
14.04,0.88,0.35,77.76,155.12,None,Non-Road
7.9,25.5,9.91,76.56,113.45,Pothole,Non-Road
7.7,17.64,13.29,78.83,75.72,Pothole,Non-Road
7.01,1.27,0.73,85.38,110.01,None,Non-Road
11.42,1.2,1.87,85.21,86.99,None,Non-Road
14.97,0.81,0.86,57.3,102.66,None,Non-Road
11.59,2.42,33.14,59.41,71.55,Crack,Non-Road
71.94,1.15,34.19,9.42,164.65,Crack,Road
85.29,0.57,0.97,7.67,117.45,None,Road
13.92,0.1,2.79,77.74,89.06,None,Non-Road
77.17,9.06,11.05,8.21,90.03,Damage,Road
72.95,2.78,32.15,6.2,58.51,Crack,Road
15.48,7.31,12.2,67.14,112.95,Damage,Non-Road
61.91,21.34,15.55,12.35,102.3,Pothole,Road
74.88,0.99,2.35,7.8,124.36,None,Road
62.78,4.15,13.6,14.69,114.22,Damage,Road
5.29,8.18,14.36,84.0,113.73,Damage,Non-Road
61.86,23.24,10.53,11.44,131.75,Pothole,Road
76.15,0.45,1.13,7.9,103.69,None,Road
19.02,20.53,16.18,61.64,53.31,Pothole,Non-Road
22.39,6.63,14.26,39.67,155.62,Damage,Non-Road
6.77,1.12,33.96,57.98,153.63,Crack,Non-Road
6.15,11.89,3.18,54.94,148.23,Damage,Non-Road
72.42,20.77,13.57,5.64,107.17,Pothole,Road
75.41,5.0,17.77,11.87,96.36,Damage,Road
18.67,20.3,15.54,49.74,77.73,Pothole,Non-Road
92.08,17.96,13.92,9.57,56.93,Pothole,Road
23.5,2.34,3.51,58.98,125.58,None,Non-Road
14.65,0.96,2.64,78.93,175.97,None,Non-Road
9.7,24.73,13.6,86.56,74.21,Pothole,Non-Road
6.75,1.07,1.83,70.8,108.6,None,Non-Road
18.21,2.9,32.46,49.95,100.17,Crack,Non-Road
69.18,15.23,12.76,12.32,87.45,Pothole,Road
63.69,0.41,27.64,8.42,130.3,Crack,Road
82.94,19.88,18.84,10.73,89.57,Pothole,Road
18.61,20.81,13.58,64.52,77.84,Pothole,Non-Road
76.89,8.29,13.63,11.91,94.96,Damage,Road
77.17,8.21,9.87,12.65,149.78,Damage,Road
81.08,0.94,0.65,6.19,160.04,None,Road
69.73,0.3,3.12,8.22,69.41,None,Road
14.57,1.48,2.45,75.68,104.65,None,Non-Road
6.21,0.46,2.35,53.36,119.17,None,Non-Road
8.76,11.27,11.54,78.87,106.64,Damage,Non-Road
83.52,3.48,36.7,5.43,136.11,Crack,Road
10.52,18.9,15.0,62.99,120.93,Pothole,Non-Road
11.51,0.89,1.19,65.79,126.43,None,Non-Road
5.83,2.08,37.33,47.48,137.95,Crack,Non-Road
73.32,9.41,11.02,8.05,136.86,Damage,Road
16.7,22.47,12.29,56.42,100.8,Pothole,Non-Road
85.36,19.81,16.72,6.84,118.68,Pothole,Road
78.04,25.46,13.08,2.51,86.65,Pothole,Road
20.65,0.92,1.12,52.02,93.66,None,Non-Road
63.33,4.74,11.85,6.79,99.14,Damage,Road
76.02,3.96,31.54,0.7,115.19,Crack,Road
6.62,2.06,1.78,68.78,134.58,None,Non-Road
63.19,0.56,1.79,13.92,111.6,None,Road
68.68,6.16,16.4,6.72,104.41,Damage,Road
10.14,1.28,1.33,69.85,141.34,None,Non-Road
13.99,2.89,35.3,64.81,134.48,Crack,Non-Road
14.89,0.82,0.08,50.22,63.56,None,Non-Road
16.37,1.93,39.89,54.48,73.49,Crack,Non-Road
69.59,0.88,3.61,11.98,125.05,None,Road
14.57,25.21,19.68,45.94,164.18,Pothole,Non-Road
11.57,8.78,10.83,54.03,70.12,Damage,Non-Road
62.35,8.46,16.53,12.53,113.05,Damage,Road
54.95,7.63,10.05,10.41,107.16,Damage,Road
62.57,19.71,19.67,5.98,117.15,Pothole,Road
7.69,0.72,29.86,72.1,118.59,Crack,Non-Road
70.96,6.33,13.38,4.59,116.9,Damage,Road
87.86,8.3,14.45,6.11,113.66,Damage,Road
9.72,8.27,10.83,76.89,105.33,Damage,Non-Road
18.05,23.37,16.25,48.28,116.56,Pothole,Non-Road
23.39,22.8,10.65,61.47,142.77,Pothole,Non-Road
78.7,2.76,40.23,0.0,156.28,Crack,Road
14.73,19.82,11.74,46.12,112.61,Pothole,Non-Road
74.97,19.29,14.9,13.8,100.95,Pothole,Road
48.89,1.91,1.32,6.42,154.54,None,Road
11.94,2.53,34.16,59.35,102.14,Crack,Non-Road
70.53,1.91,3.3,8.85,82.03,None,Road
60.79,5.44,10.22,8.92,137.81,Damage,Road
79.58,1.25,32.98,1.19,109.12,Crack,Road
79.09,9.25,12.23,14.08,170.35,Damage,Road
8.99,18.61,16.99,73.51,87.65,Pothole,Non-Road
71.4,19.63,10.84,11.5,106.74,Pothole,Road
23.8,15.73,11.8,63.05,93.86,Pothole,Non-Road
66.69,1.96,27.0,9.6,85.96,Crack,Road
7.16,22.38,14.28,54.54,87.53,Pothole,Non-Road
6.96,2.33,48.3,80.05,121.74,Crack,Non-Road
15.13,4.12,35.81,73.47,64.02,Crack,Non-Road
17.97,8.6,9.32,67.25,64.35,Damage,Non-Road
13.3,18.65,12.13,48.47,115.31,Pothole,Non-Road
0.0,27.85,15.92,53.92,98.11,Pothole,Non-Road
6.63,1.25,36.48,48.28,130.8,Crack,Non-Road
10.98,5.79,14.98,70.82,117.64,Damage,Non-Road
0.0,1.45,2.77,66.28,150.17,None,Non-Road
63.41,28.2,14.0,5.12,133.46,Pothole,Road
12.54,21.53,12.26,82.65,78.32,Pothole,Non-Road
63.08,6.23,11.55,7.21,84.96,Damage,Road
13.66,13.79,16.7,42.32,121.5,Pothole,Non-Road
9.4,24.45,16.52,65.08,87.54,Pothole,Non-Road
78.06,16.2,13.03,3.82,130.53,Pothole,Road
5.55,2.76,36.33,74.27,133.73,Crack,Non-Road
6.06,1.3,2.81,77.71,115.38,None,Non-Road
57.6,22.68,6.53,1.85,90.01,Pothole,Road
13.96,1.23,0.54,78.71,60.34,None,Non-Road
79.81,1.04,0.55,9.15,109.42,None,Road
77.05,9.63,15.46,6.88,120.9,Damage,Road
9.61,4.35,9.82,73.23,107.87,Damage,Non-Road
70.12,1.15,3.18,5.07,112.05,None,Road
13.42,1.12,39.55,68.6,146.96,Crack,Non-Road
18.53,9.88,9.73,60.07,115.38,Damage,Non-Road
17.85,0.56,2.46,50.92,87.33,None,Non-Road
17.04,0.38,2.84,48.4,115.93,None,Non-Road
65.09,8.47,11.37,1.2,151.28,Pothole,Road
80.48,2.99,23.92,3.0,158.23,Crack,Road
9.85,7.89,12.02,84.15,153.59,Damage,Non-Road
72.1,8.6,10.12,0.0,62.33,Damage,Road
13.27,0.85,2.05,74.35,69.65,None,Non-Road
71.77,1.11,2.73,15.03,66.01,None,Road
4.84,8.96,15.48,52.36,138.61,Damage,Non-Road
6.36,12.27,12.25,56.11,113.74,Damage,Non-Road
67.95,14.55,14.86,8.59,50.62,Pothole,Road
81.2,0.62,34.34,13.01,93.6,Crack,Road
11.6,5.33,12.67,67.34,108.41,Damage,Non-Road
10.36,22.14,9.04,57.74,51.33,Pothole,Non-Road
0.78,1.6,36.62,49.11,49.1,Crack,Non-Road
22.83,26.55,13.89,84.58,120.86,Pothole,Non-Road
22.01,1.34,1.88,72.06,131.78,None,Non-Road
75.8,1.33,0.99,7.68,139.51,None,Road
8.53,1.22,3.17,65.15,171.19,None,Non-Road
7.11,6.93,13.21,53.13,95.12,Damage,Non-Road
69.61,7.44,12.25,10.65,138.52,Damage,Road
64.73,5.5,7.51,7.37,117.63,Damage,Road
11.36,17.95,14.0,79.36,148.84,Pothole,Non-Road
67.67,7.01,9.44,7.04,155.16,Damage,Road
78.09,1.66,33.71,10.5,72.19,Crack,Road
10.84,2.0,29.96,63.58,113.52,Crack,Non-Road
4.21,9.35,9.09,58.7,80.46,Damage,Non-Road
17.9,7.04,16.34,70.01,79.48,Damage,Non-Road
14.63,0.44,2.13,68.2,69.19,None,Non-Road
75.94,2.18,35.43,4.94,126.39,Crack,Road
66.39,10.09,11.03,11.53,94.02,Damage,Road
16.58,7.4,16.02,59.61,73.48,Damage,Non-Road
79.62,7.37,16.82,7.32,104.02,Damage,Road
16.71,1.65,35.39,71.6,74.12,Crack,Non-Road
64.51,0.0,0.9,9.36,54.13,None,Road
9.81,9.05,14.85,82.06,116.93,Damage,Non-Road
71.96,0.87,3.14,8.94,125.8,None,Road
11.48,2.11,31.04,79.18,106.36,Crack,Non-Road
59.76,22.6,13.7,11.49,165.4,Pothole,Road
57.19,13.93,11.2,9.92,146.52,Pothole,Road
11.36,26.47,13.11,69.51,149.44,Pothole,Non-Road
23.67,0.82,29.81,72.25,131.84,Crack,Non-Road
6.56,0.71,0.73,70.57,103.74,None,Non-Road
60.47,8.77,12.23,8.54,152.21,Pothole,Road
54.33,0.26,3.66,5.09,130.68,None,Road
13.66,18.63,13.1,76.08,42.27,Pothole,Non-Road
27.09,0.0,36.14,56.02,104.72,Crack,Non-Road
67.37,25.84,14.81,7.57,126.99,Pothole,Road
66.8,3.73,22.9,3.12,97.38,Crack,Road
59.94,22.36,13.57,10.93,120.16,Pothole,Road
18.54,20.72,10.53,55.62,112.48,Pothole,Non-Road
10.82,12.15,16.1,67.27,95.4,Pothole,Non-Road
78.32,1.13,1.03,6.79,101.27,None,Road
75.73,7.82,7.74,7.34,64.55,Damage,Road
13.38,22.7,7.74,71.38,136.85,Pothole,Non-Road
10.72,2.89,26.0,39.81,129.89,Crack,Non-Road
61.31,3.14,27.88,10.05,122.02,Crack,Road
66.67,1.64,31.88,5.9,71.05,Crack,Road
64.6,27.97,11.5,6.39,93.5,Pothole,Road
57.4,1.07,1.77,6.04,125.08,None,Road
12.36,6.45,14.95,50.5,69.95,Damage,Non-Road
14.52,1.01,1.37,72.84,68.87,None,Non-Road
75.72,17.17,13.49,0.57,74.83,Pothole,Road
12.8,1.09,25.26,58.89,126.26,Crack,Non-Road
80.05,1.35,32.22,5.5,112.24,Crack,Road
11.73,1.77,1.41,61.23,118.31,None,Non-Road
11.03,1.37,28.24,74.05,148.38,Crack,Non-Road
73.74,0.58,36.02,4.83,87.73,Crack,Road
0.0,1.37,0.0,38.48,83.0,None,Non-Road
77.0,15.19,10.87,5.4,95.38,Pothole,Road
73.27,1.27,2.15,5.58,73.78,None,Road
1.54,21.45,12.24,52.58,106.1,Pothole,Non-Road
76.74,7.8,5.41,18.1,152.76,Damage,Road
7.32,2.96,34.21,66.0,112.7,Crack,Non-Road
68.41,19.07,15.01,8.13,95.69,Pothole,Road
73.9,16.48,15.05,12.29,106.24,Pothole,Road
79.92,2.14,2.15,9.9,106.75,None,Road
16.89,21.96,14.09,58.66,93.29,Pothole,Non-Road
70.67,1.95,1.64,5.92,120.4,None,Road
7.35,16.95,15.4,95.29,59.38,Pothole,Non-Road
17.36,0.86,1.18,86.37,92.72,None,Non-Road
61.32,0.85,0.0,4.2,62.65,None,Road
61.25,1.29,2.24,4.5,98.8,None,Road
72.92,0.63,1.66,13.56,183.44,None,Road
12.11,24.46,11.16,54.33,103.13,Pothole,Non-Road
0.0,1.21,2.18,66.58,108.29,None,Non-Road
60.61,28.27,8.5,7.21,78.46,Pothole,Road
61.73,0.9,0.14,11.7,151.18,None,Road
62.42,1.04,31.01,2.45,69.74,Crack,Road
15.58,19.83,15.76,71.9,56.35,Pothole,Non-Road
8.74,24.08,14.17,84.57,109.74,Pothole,Non-Road
79.03,2.93,29.98,7.45,108.13,Crack,Road
14.67,1.77,0.6,69.72,92.98,None,Non-Road
16.0,1.0,3.96,69.14,47.11,None,Non-Road
4.84,0.83,0.33,54.28,105.55,None,Non-Road
79.64,5.5,17.73,5.5,112.25,Damage,Road
20.82,15.96,15.95,63.8,123.92,Pothole,Non-Road
62.59,2.59,4.24,3.3,116.5,None,Road
59.81,2.08,28.2,3.99,116.33,Crack,Road
71.71,1.02,0.26,8.91,132.08,None,Road
72.36,7.79,16.23,7.02,135.64,Damage,Road
6.66,1.69,38.79,52.99,93.36,Crack,Non-Road
60.11,1.64,34.63,6.12,98.79,Crack,Road
72.33,24.01,12.64,7.78,102.2,Pothole,Road
71.28,21.75,17.57,8.01,138.49,Pothole,Road
75.09,1.32,24.33,13.08,75.14,Crack,Road
11.92,0.99,2.0,58.3,81.74,None,Non-Road
3.58,17.72,16.11,66.26,103.58,Pothole,Non-Road
60.04,0.45,1.53,2.47,128.3,None,Road
59.31,20.53,12.64,6.35,103.44,Pothole,Road
55.2,1.87,0.63,13.11,118.01,None,Road
76.38,21.24,17.29,5.21,134.85,Pothole,Road
11.4,3.41,33.56,68.37,109.49,Crack,Non-Road
12.87,0.84,2.15,53.47,160.48,None,Non-Road
12.7,2.33,26.32,56.98,100.52,Crack,Non-Road
10.94,18.09,17.8,63.14,151.96,Pothole,Non-Road
17.51,17.94,15.83,63.89,100.5,Pothole,Non-Road
4.8,1.67,1.49,77.81,104.71,None,Non-Road
3.55,0.32,2.84,73.64,124.58,None,Non-Road
7.78,18.23,21.55,58.26,158.35,Pothole,Non-Road
10.37,1.83,27.04,62.94,72.81,Crack,Non-Road
9.41,0.17,1.54,66.92,57.15,None,Non-Road
60.82,7.48,15.22,7.48,112.09,Damage,Road
70.66,0.78,3.0,5.49,91.99,None,Road
11.62,1.09,1.45,66.42,146.45,None,Non-Road
4.27,1.47,29.26,56.63,123.22,Crack,Non-Road
5.12,1.26,32.14,70.76,119.66,Crack,Non-Road
13.71,19.32,11.55,72.87,168.45,Pothole,Non-Road
10.45,1.23,32.38,79.66,145.45,Crack,Non-Road
6.55,1.27,0.13,61.7,160.88,None,Non-Road
17.32,8.57,9.36,63.08,126.35,Damage,Non-Road
67.74,2.89,30.63,10.23,66.84,Crack,Road
68.55,8.98,11.11,14.13,82.32,Damage,Road
72.78,17.3,14.1,6.05,77.38,Pothole,Road
15.67,7.71,16.8,73.57,81.3,Damage,Non-Road
73.29,0.98,2.42,15.39,109.41,None,Road
11.37,19.59,11.48,59.83,99.35,Pothole,Non-Road
76.94,30.09,12.23,1.45,106.39,Pothole,Road
15.77,8.65,11.37,88.04,93.73,Damage,Non-Road
58.68,18.63,11.59,6.32,105.16,Pothole,Road
87.35,4.29,12.17,17.67,166.04,Damage,Road
71.25,25.96,10.19,9.12,144.64,Pothole,Road
1.5,8.08,16.18,60.76,113.81,Damage,Non-Road
69.77,9.26,14.98,6.12,97.83,Damage,Road
62.09,0.8,31.9,8.17,89.78,Crack,Road
68.29,1.65,3.67,6.29,119.34,None,Road
9.58,2.44,34.55,93.83,112.12,Crack,Non-Road
70.64,5.81,11.66,5.17,130.3,Damage,Road
72.63,0.66,1.0,10.28,132.84,None,Road
10.72,18.42,8.04,69.26,130.92,Pothole,Non-Road
68.33,0.56,0.69,8.59,107.65,None,Road
10.87,2.17,36.49,85.52,107.08,Crack,Non-Road
3.89,0.6,32.69,67.7,119.36,Crack,Non-Road
13.63,2.77,35.58,73.06,104.4,Crack,Non-Road
63.48,0.74,1.83,5.09,96.54,None,Road
18.52,9.86,11.58,93.5,144.73,Damage,Non-Road
77.12,7.9,10.33,8.16,98.32,Damage,Road
62.27,4.17,14.44,9.73,105.49,Damage,Road
73.53,21.41,15.29,8.58,136.44,Pothole,Road
14.52,3.39,31.9,51.83,149.33,Crack,Non-Road
65.78,0.81,3.9,8.84,131.13,None,Road
14.22,1.1,2.49,64.99,111.1,None,Non-Road
67.38,3.19,40.06,7.15,58.03,Crack,Road
2.8,0.0,29.59,50.63,156.2,Crack,Non-Road
81.93,8.44,4.95,0.0,108.65,Damage,Road
16.67,16.49,17.07,77.85,91.15,Pothole,Non-Road
90.09,18.75,12.43,7.92,121.29,Pothole,Road
62.08,4.24,9.12,8.63,75.1,Damage,Road
67.3,2.47,38.37,1.44,90.2,Crack,Road
9.52,9.07,12.64,60.32,81.85,Damage,Non-Road
61.64,0.97,2.02,6.79,147.97,None,Road
63.88,20.85,16.89,13.11,77.95,Pothole,Road
71.28,1.8,1.11,11.16,185.06,None,Road
19.5,1.24,2.26,60.97,88.56,None,Non-Road
59.38,2.18,41.62,11.43,119.0,Crack,Road
14.39,14.47,12.87,68.57,110.97,Pothole,Non-Road
65.97,4.56,15.44,11.87,136.81,Damage,Road
65.37,22.78,12.45,6.08,107.36,Pothole,Road
13.98,17.12,15.54,70.18,45.54,Pothole,Non-Road
20.32,17.43,10.6,73.74,105.02,Pothole,Non-Road
76.84,1.19,0.55,8.64,80.79,None,Road
5.07,9.34,11.21,50.38,138.93,Damage,Non-Road
72.92,4.72,3.64,7.95,127.01,Damage,Road
6.95,19.74,14.84,67.3,145.34,Pothole,Non-Road
10.09,2.07,31.24,67.08,50.6,Crack,Non-Road
75.02,4.32,9.55,8.42,137.4,Damage,Road
75.17,6.77,12.74,10.4,96.37,Damage,Road
73.33,7.85,13.41,9.98,119.49,Damage,Road
9.19,19.58,12.27,51.76,124.02,Pothole,Non-Road
60.34,10.52,12.81,14.06,21.3,Damage,Road
19.14,19.62,17.1,73.73,72.16,Pothole,Non-Road
70.29,2.29,3.21,5.83,93.65,None,Road
5.66,2.36,22.29,60.55,90.27,Crack,Non-Road
63.82,1.53,41.34,7.83,74.34,Crack,Road
64.74,1.47,34.66,5.01,61.19,Crack,Road
76.55,9.9,13.46,10.85,97.16,Damage,Road
74.19,8.58,9.68,8.93,74.67,Damage,Road
11.31,2.16,29.98,56.38,137.99,Crack,Non-Road
77.97,8.44,11.27,8.63,141.48,Damage,Road
0.0,7.26,11.95,80.98,53.52,Damage,Non-Road
22.81,22.32,10.84,64.56,107.68,Pothole,Non-Road
57.66,28.78,15.48,8.66,108.27,Pothole,Road
0.0,1.41,37.79,75.28,141.63,Crack,Non-Road
12.23,1.16,2.7,68.15,85.47,None,Non-Road
59.77,6.56,13.01,9.78,96.0,Damage,Road
16.91,12.29,12.26,100.0,157.12,Damage,Non-Road
71.26,2.85,7.08,4.71,101.21,Damage,Road
9.45,1.77,3.73,41.14,130.36,None,Non-Road
10.56,2.58,36.4,72.51,129.99,Crack,Non-Road
12.67,6.19,8.53,67.85,122.26,Damage,Non-Road
15.94,0.58,4.12,88.77,70.96,None,Non-Road
88.18,7.56,12.01,4.96,128.81,Damage,Road
12.65,1.17,39.86,55.5,157.3,Crack,Non-Road
16.16,2.38,30.18,62.13,187.86,Crack,Non-Road
10.15,17.71,13.81,72.1,110.53,Pothole,Non-Road
66.18,1.29,0.86,11.6,155.09,None,Road
5.89,2.07,31.53,52.67,112.46,Crack,Non-Road
12.85,2.22,31.4,62.15,151.53,Crack,Non-Road
65.83,26.82,10.57,4.8,99.38,Pothole,Road
17.02,11.22,15.13,73.59,166.82,Damage,Non-Road
83.08,1.21,29.27,5.03,126.71,Crack,Road
82.99,0.92,1.35,8.4,146.71,None,Road
76.7,13.66,17.42,6.72,84.89,Pothole,Road
5.64,0.88,2.62,52.51,129.01,None,Non-Road
9.7,17.51,11.63,52.18,121.3,Pothole,Non-Road
75.77,3.1,31.5,4.69,133.23,Crack,Road
6.2,11.29,11.01,67.48,123.98,Pothole,Non-Road
13.73,1.87,26.2,93.08,122.34,Crack,Non-Road
59.25,17.35,12.25,11.42,96.14,Pothole,Road
71.78,2.66,33.31,12.15,96.49,Crack,Road
80.12,17.6,11.66,7.23,95.35,Pothole,Road
17.61,18.24,16.37,63.66,178.45,Pothole,Non-Road
63.91,14.75,18.38,10.63,103.06,Pothole,Road
8.62,1.32,2.62,49.26,126.6,None,Non-Road
10.47,4.35,25.15,58.87,102.08,Crack,Non-Road
19.25,21.16,17.55,60.31,106.44,Pothole,Non-Road
4.57,22.81,15.82,69.6,121.78,Pothole,Non-Road
77.31,2.35,30.72,14.5,78.0,Crack,Road
3.36,5.59,11.53,86.23,52.62,Damage,Non-Road
8.84,23.19,14.26,73.28,75.48,Pothole,Non-Road
0.36,0.37,3.43,24.66,109.16,None,Non-Road
73.2,1.15,1.85,0.46,170.42,None,Road
72.5,9.2,11.7,2.71,139.48,Damage,Road
72.82,0.71,2.08,0.9,115.76,None,Road
78.23,20.99,14.23,10.01,122.01,Pothole,Road
83.41,21.63,11.42,7.22,99.31,Pothole,Road
5.39,11.52,11.66,50.32,146.81,Damage,Non-Road
12.03,6.34,11.2,44.86,94.48,Damage,Non-Road
69.96,0.95,2.2,6.83,116.12,None,Road
76.42,1.52,29.05,2.89,68.98,Crack,Road
1.45,23.04,15.36,56.45,96.46,Pothole,Non-Road
16.11,6.83,10.51,65.91,113.42,Damage,Non-Road
18.92,6.23,8.07,65.36,99.18,Damage,Non-Road
71.26,2.54,27.42,8.48,85.0,Crack,Road
14.4,8.34,5.12,88.45,122.25,Damage,Non-Road
20.39,6.19,8.4,64.19,125.88,Damage,Non-Road
8.72,7.21,9.06,61.59,181.4,Damage,Non-Road
80.86,1.02,3.33,8.42,90.51,None,Road
2.52,16.91,18.34,52.04,143.64,Pothole,Non-Road
1.36,0.91,25.38,68.08,111.63,Crack,Non-Road
7.6,8.21,12.7,63.91,113.62,Damage,Non-Road
18.56,1.26,2.95,54.28,138.14,None,Non-Road
8.91,2.82,26.33,70.57,84.42,Crack,Non-Road
17.13,0.46,35.97,71.63,76.44,Crack,Non-Road
6.99,23.89,14.59,58.91,106.47,Pothole,Non-Road
15.0,1.7,29.8,56.01,148.24,Crack,Non-Road
67.85,2.88,31.98,3.42,91.61,Crack,Road
68.73,26.27,10.96,6.73,145.42,Pothole,Road
70.9,0.73,3.06,10.68,110.1,None,Road
19.01,3.11,25.35,67.76,172.26,Crack,Non-Road
61.98,12.89,13.39,11.96,124.61,Pothole,Road
9.06,21.78,20.91,75.22,75.6,Pothole,Non-Road
21.25,2.27,22.95,76.26,101.45,Crack,Non-Road
7.73,1.14,1.78,51.0,84.63,None,Non-Road
0.2,19.64,14.47,68.25,101.14,Pothole,Non-Road
70.95,8.17,8.15,10.93,87.3,Damage,Road
91.84,7.53,9.11,7.97,162.21,Damage,Road
16.1,10.2,13.14,88.59,132.47,Damage,Non-Road
50.14,8.77,14.07,2.8,60.22,Damage,Road
18.94,0.68,0.0,75.11,143.07,None,Non-Road
0.0,19.98,9.33,62.96,138.92,Pothole,Non-Road
9.47,3.02,27.25,67.4,131.32,Crack,Non-Road
14.17,7.72,12.96,69.68,85.75,Damage,Non-Road
11.3,7.91,12.05,57.15,115.16,Damage,Non-Road
66.3,1.21,1.48,11.25,150.41,None,Road
72.33,23.49,16.2,8.13,100.73,Pothole,Road
69.55,1.98,1.75,10.31,80.91,None,Road
62.4,13.39,14.41,0.0,134.27,Damage,Road
19.56,8.69,14.73,62.28,139.39,Damage,Non-Road
65.55,17.26,14.82,10.79,111.25,Pothole,Road
16.8,11.09,5.91,61.77,135.65,Damage,Non-Road
67.33,0.27,2.4,9.36,134.25,None,Road
9.09,1.07,0.79,80.75,39.7,None,Non-Road
10.36,3.88,35.12,50.9,68.95,Crack,Non-Road
68.15,0.84,0.75,0.0,131.8,None,Road
83.41,21.33,14.13,7.88,97.88,Pothole,Road
73.55,1.07,1.37,6.19,127.69,None,Road
66.37,23.9,12.19,8.25,74.83,Pothole,Road
74.05,7.04,8.88,7.83,180.11,Damage,Road
72.42,17.03,13.66,8.18,77.61,Pothole,Road
64.22,1.36,35.29,3.12,96.98,Crack,Road
70.51,0.59,4.15,8.82,91.78,None,Road
69.43,10.18,12.19,7.29,77.37,Damage,Road
12.71,22.45,13.28,65.62,110.08,Pothole,Non-Road
72.36,1.35,4.02,7.04,115.17,None,Road
18.81,7.88,8.46,43.31,81.16,Damage,Non-Road
18.39,21.89,14.99,79.7,94.33,Pothole,Non-Road
75.9,0.78,2.12,7.48,119.79,None,Road
14.38,1.32,2.92,73.1,106.91,None,Non-Road
81.33,1.07,1.98,11.72,156.75,None,Road
68.33,23.43,15.66,6.75,102.28,Pothole,Road
16.78,8.54,15.17,57.28,75.54,Damage,Non-Road
62.51,1.46,2.07,10.24,116.16,None,Road
